equipment_id,equipment_model,casing_temperature_c,vibration_mm_s,discharge_pressure_bar,flow_lpm,motor_current_a,hours_since_maintenance,failure_within_7_days
PX200-0775,PX-200,70.4,2.09,4.99,175.5,11.2,181,0
PX200-0776,PX-200,59.3,3.35,5.45,175.1,10.3,300,0
PX200-0777,PX-200,57.9,0.83,5.16,185.1,11.2,763,0
PX200-0778,PX-200,77.5,3.65,4.77,164.9,11.5,614,1
PX200-0779,PX-200,85.2,5.47,4.92,167.8,13.8,1226,1
PX200-0780,PX-200,68.5,4.44,4.55,141.9,11.4,2572,0
PX200-0781,PX-200,53.3,2.73,5.32,208.8,10.7,304,0
PX200-0782,PX-200,56,2.38,5.52,163.8,11.7,877,0
PX200-0783,PX-200,70.7,4.57,4.06,193.1,16.7,1259,0
PX200-0784,PX-200,63.7,2.63,4.69,173.7,11.8,50,0
PX200-0785,PX-200,66.6,2.93,5.37,228.5,10.6,1308,0
PX200-0786,PX-200,83.1,6.47,3.9,114,13.5,2283,0
PX200-0787,PX-200,52.8,2.71,5.57,201.9,11.6,618,0
PX200-0788,PX-200,64.1,0.61,4.97,141.6,12.1,391,0
PX200-0789,PX-200,62.4,2.24,5.3,165.6,10.6,1617,0
PX200-0790,PX-200,69.5,4.27,4.9,193.6,15.4,645,1
PX200-0791,PX-200,64.8,5.41,4.95,155.8,12.9,1321,0
PX200-0792,PX-200,67.9,2.92,5.74,171,11.5,953,0
PX200-0793,PX-200,59,2.89,5.48,185.4,11.4,417,0
PX200-0794,PX-200,63.5,2.54,5.36,184,9.4,349,0
PX200-0795,PX-200,60.4,2.99,5.27,198.3,11.5,800,0
PX200-0796,PX-200,80.7,6.16,4.88,152.2,13.2,1581,1
PX200-0797,PX-200,77.7,2.54,5.78,165,11.4,411,0
PX200-0798,PX-200,80.3,4.69,4.53,160.3,13.6,1276,0
PX200-0799,PX-200,75.6,3.51,4.96,160.7,13.1,2419,1
PX200-0800,PX-200,68.3,2.67,5.93,171.5,11.1,1002,0
